frame_id,timestamp_sec,track_id,class,x1,y1,x2,y2,center_x,center_y,confidence,displacement_px,direction,speed_mps,status,alerts
33,1.067,23,motorcycle,1269,761,1332,850,1300,805,0.5243,7.07,Up,2.65,Moving,Normal
33,1.067,7,motorcycle,1475,749,1512,809,1493,779,0.4706,3.16,Stationary,1.19,Stationary,Normal
33,1.067,24,motorcycle,1716,753,1759,833,1737,793,0.5729,8.06,Up,3.02,Moving,Normal
34,1.1,23,motorcycle,1275,756,1337,844,1306,800,0.6747,7.81,Right,2.93,Moving,Normal
34,1.1,7,motorcycle,1472,727,1519,804,1495,765,0.4989,14.14,Up,5.3,Moving,Normal
34,1.1,24,motorcycle,1717,748,1760,828,1738,788,0.6394,5.1,Up,1.91,Moving,Normal
35,1.133,23,motorcycle,1281,752,1341,840,1311,796,0.6101,6.4,Right,2.4,Moving,Normal
35,1.133,7,motorcycle,1475,719,1523,799,1499,759,0.5773,7.21,Up,2.7,Moving,Normal
35,1.133,24,motorcycle,1719,746,1761,823,1740,784,0.4435,4.47,Up,1.68,Moving,Normal
36,1.167,23,motorcycle,1287,750,1346,836,1316,793,0.4787,5.83,Right,2.19,Moving,Normal
36,1.167,7,motorcycle,1478,713,1527,794,1502,753,0.6163,6.71,Up,2.52,Moving,Normal
36,1.167,24,motorcycle,1719,740,1761,818,1740,779,0.5258,5.0,Up,1.88,Moving,Normal
37,1.2,23,motorcycle,1292,746,1350,832,1321,789,0.4792,6.4,Right,2.4,Moving,Normal
37,1.2,7,motorcycle,1482,710,1529,789,1505,749,0.595,5.0,Up,1.88,Moving,Normal
37,1.2,24,motorcycle,1719,736,1761,813,1740,774,0.4497,5.0,Up,1.88,Moving,Normal
37,1.2,11,car,1863,495,1900,526,1881,510,0.4525,10.3,Left,3.86,Moving,Normal
38,1.233,23,motorcycle,1301,754,1351,828,1326,791,0.5423,5.39,Right,2.02,Moving,Normal
38,1.233,7,motorcycle,1486,707,1533,787,1509,747,0.6205,4.47,Right,1.68,Moving,Normal
38,1.233,24,motorcycle,1720,733,1762,809,1741,771,0.5223,3.16,Stationary,1.19,Stationary,Normal
38,1.233,11,car,1863,494,1899,525,1881,509,0.5549,1.0,Stationary,0.38,Stationary,Normal
38,1.233,1,car,1693,663,1777,732,1735,697,0.4236,44.15,Up,16.56,Moving,Normal
39,1.267,23,motorcycle,1303,745,1355,822,1329,783,0.5177,8.54,Up,3.2,Moving,Normal
39,1.267,7,motorcycle,1491,707,1536,784,1513,745,0.5631,4.47,Right,1.68,Moving,Normal
39,1.267,24,motorcycle,1722,732,1762,805,1742,768,0.4088,3.16,Stationary,1.19,Stationary,Normal
39,1.267,11,car,1863,494,1899,525,1881,509,0.5089,0.0,Stationary,0.0,Stationary,Normal
40,1.3,23,motorcycle,1308,740,1361,819,1334,779,0.5876,6.4,Right,2.4,Moving,Normal
40,1.3,7,motorcycle,1495,706,1539,781,1517,743,0.5734,4.47,Right,1.68,Moving,Normal
40,1.3,11,car,1862,492,1899,524,1880,508,0.4328,1.41,Stationary,0.53,Stationary,Normal
41,1.333,23,motorcycle,1311,735,1365,815,1338,775,0.6267,5.66,Up,2.12,Moving,Normal
41,1.333,7,motorcycle,1499,707,1540,778,1519,742,0.522,2.24,Stationary,0.84,Stationary,Normal
41,1.333,1,car,1696,656,1779,722,1737,689,0.4832,8.25,Up,3.09,Moving,RAPID_DECELERATION
42,1.367,23,motorcycle,1317,731,1370,810,1343,770,0.5753,7.07,Up,2.65,Moving,Normal
42,1.367,7,motorcycle,1502,699,1544,772,1523,735,0.6006,8.06,Up,3.02,Moving,Normal
